0,5,200,100,402,212
1,5,100,200,233,207
!!!
0,0,200,100,438,453
0,2.5,200,100,421,286
0,5,200,100,402,212
0,15,200,100,402,212
0,17.5,200,100,396,86
0,20,200,100,388,-15
1,0,100,200,-27,227
1,2.5,100,200,97,234
1,5,100,200,233,207
1,15,100,200,233,207
1,17.5,100,200,93,201
1,20,100,200,-35,190
---
0,5,203,102,393,212
1,5,100,194,225,208
!!!
0,0,203,102,438,453
0,2.5,203,102,421,286
0,5,203,102,393,212
0,15,203,102,393,212
0,17.5,203,102,396,86
0,20,203,102,388,-15
1,0,100,194,-27,227
1,2.5,100,194,97,234
1,5,100,194,225,208
1,15,100,194,225,208
1,17.5,100,194,93,201
1,20,100,194,-35,190
---
0,5,200,98,402,222
1,5,98,194,236,207
!!!
0,0,200,98,438,453
0,2.5,200,98,421,286
0,5,200,98,402,222
0,15,200,98,402,222
0,17.5,200,98,396,86
0,20,200,98,388,-15
1,0,98,194,-27,227
1,2.5,98,194,97,234
1,5,98,194,236,207
1,15,98,194,236,207
1,17.5,98,194,93,201
1,20,98,194,-35,190
---
0,5,191,101,409,202
1,5,97,203,232,214
!!!
0,0,191,101,438,453
0,2.5,191,101,421,286
0,5,191,101,409,202
0,15,191,101,409,202
0,17.5,191,101,396,86
0,20,191,101,388,-15
1,0,97,203,-27,227
1,2.5,97,203,97,234
1,5,97,203,232,214
1,15,97,203,232,214
1,17.5,97,203,93,201
1,20,97,203,-35,190
---
0,5,196,95,397,209
1,5,102,194,229,205
!!!
0,0,196,95,438,453
0,2.5,196,95,421,286
0,5,196,95,397,209
0,15,196,95,397,209
0,17.5,196,95,396,86
0,20,196,95,388,-15
1,0,102,194,-27,227
1,2.5,102,194,97,234
1,5,102,194,229,205
1,15,102,194,229,205
1,17.5,102,194,93,201
1,20,102,194,-35,190
---
0,5,198,97,400,206
1,5,99,192,241,197
!!!
0,0,198,97,438,453
0,2.5,198,97,421,286
0,5,198,97,400,206
0,15,198,97,400,206
