0,5,200,100,50,47
1,5,100,200,29,46
!!!
0,0,200,100,55,101
0,2.5,200,100,53,64
0,5,200,100,50,47
0,15,200,100,50,47
0,17.5,200,100,50,19
0,20,200,100,49,0
1,0,100,200,0,50
1,2.5,100,200,12,52
1,5,100,200,29,46
1,15,100,200,29,46
1,17.5,100,200,12,45
1,20,100,200,0,42
---
0,5,203,102,49,47
1,5,100,194,28,46
!!!
0,0,203,102,55,101
0,2.5,203,102,53,64
0,5,203,102,49,47
0,15,203,102,49,47
0,17.5,203,102,50,19
0,20,203,102,49,0
1,0,100,194,0,50
1,2.5,100,194,12,52
1,5,100,194,28,46
1,15,100,194,28,46
1,17.5,100,194,12,45
1,20,100,194,0,42
---
0,5,200,98,50,49
1,5,98,194,30,46
!!!
0,0,200,98,55,101
0,2.5,200,98,53,64
0,5,200,98,50,49
0,15,200,98,50,49
0,17.5,200,98,50,19
0,20,200,98,49,0
1,0,98,194,0,50
1,2.5,98,194,12,52
1,5,98,194,30,46
1,15,98,194,30,46
1,17.5,98,194,12,45
1,20,98,194,0,42
---
0,5,191,101,51,45
1,5,97,203,29,48
!!!
0,0,191,101,55,101
0,2.5,191,101,53,64
0,5,191,101,51,45
0,15,191,101,51,45
0,17.5,191,101,50,19
0,20,191,101,49,0
1,0,97,203,0,50
1,2.5,12,203,12,52
1,5,97,203,29,48
1,15,97,203,29,48
1,17.5,97,203,12,45
1,20,97,203,0,42
---
0,5,196,95,50,46
1,5,102,194,29,46
!!!
0,0,196,95,55,101
0,2.5,196,95,53,64
0,5,196,95,50,46
0,15,196,95,50,46
0,17.5,196,95,50,19
0,20,196,95,49,0
1,0,102,194,0,50
1,2.5,102,194,12,52
1,5,102,194,29,46
1,15,102,194,29,46
1,17.5,102,194,12,45
1,20,102,194,0,42
---
0,5,198,97,50,46
1,5,99,192,30,44
!!!
0,0,198,97,55,101
0,2.5,198,97,53,64
0,5,198,97,50,46
0,15,198,97,50,46
0,17.5,198,97,50,19
0,20,198,97,49,0
1,0,99,192,0,50
1,2.5,99,192,12,52
1,5,99,192,30,44
1,15,99,192,30,44
1,17.5,99,192,12,45
1,20,99,192,0,42
---
0,5,100,100,62,53
1,5,100,100,28,59
2,5,100,100,42,49
!!!
0,0,100,100,96,97
0,2.5,100,100,79,61
0,5,100,100,62,53
0,15,100,100,62,53
0,17.5,100,100,80,27
0,20,100,100,94,5
1,0,100,100,0,98
1,2.5,100,100,16,61
1,5,100,100,28,59
1,15,100,100,28,59
1,17.5,100,100,24,33
1,20,100,100,6,11
2,0,100,100,41,0
2,2.5,100,100,43,16
2,5,100,100,42,49
2,15,100,100,42,49
